file,book,name
abh01m.mul.txt,Abh.I,Abhidhamma Piṭaka I
abh02m.mul.txt,Abh.II,Abhidhamma Piṭaka II
abh03m1.mul.txt,Abh.III,Abhidhamma Piṭaka III
abh03m2.mul.txt,Abh.IV,Abhidhamma Piṭaka IV
abh03m3.mul.txt,Abh.V,Abhidhamma Piṭaka V
abh03m4.mul.txt,Abh.VI,Abhidhamma Piṭaka VI
abh03m7.mul.txt,Abh.VII,Abhidhamma Piṭaka VII
s0101m.mul.txt,D.I,Dīgha Nikāya I
s0102m.mul.txt,D.II,Dīgha Nikāya II
s0103m.mul.txt,D.III,Dīgha Nikāya III
s0201m.mul.txt,M.I,Majjhima Nikāya I
s0202m.mul.txt,M.II,Majjhima Nikāya II
s0203m.mul.txt,M.III,Majjhima Nikāya III
s0301m.mul.txt,S.I,Saṃyutta Nikāya I
s0302m.mul.txt,S.II,Saṃyutta Nikāya II
s0303m.mul.txt,S.III,Saṃyutta Nikāya III
s0304m.mul.txt,S.IV,Saṃyutta Nikāya IV
s0305m.mul.txt,S.V,Saṃyutta Nikāya V
s0401m.mul.txt,A.I,Aṅguttara Nikāya I
s0402m.mul.txt,A.II,Aṅguttara Nikāya II
s0403m.mul.txt,A.III,Aṅguttara Nikāya III
s0404m.mul.txt,A.IV,Aṅguttara Nikāya IV
s0501m.mul.txt,Khp,Khuddakapāṭha
s0502m.mul.txt,Dhp,Dhammapada
s0503m.mul.txt,Ud,Udāna
s0504m.mul.txt,It,Itivuttaka
s0505m.mul.txt,Sn,Suttanipāta
s0506m.mul.txt,Vv,Vimānavatthu
s0507m.mul.txt,Pv,Petavatthu
s0508m.mul.txt,Thag,Theragāthā
s0509m.mul.txt,Thig,Therīgāthā
s0510m1.mul.txt,Ap.I,Therāpadāna
s0510m2.mul.txt,Ap.II,Therīapadā
s0511m.mul.txt,Bv,Buddhavaṃsa
s0512m.mul.txt,Cp,Cariyāpiṭaka
s0513m.mul.txt,Ja.I,Jātaka I
s0514m.mul.txt,Ja.II,Jātaka II
s0515m.mul.txt,Nidd.I,Mahāniddesa
s0516m.mul.txt,Nidd.II,Cūḷaniddesa
s0517m.mul.txt,Patis,Paṭisambhidāmagga
s0519m.mul.txt,Nett,Nettippakaraṇa
vin01m.mul.txt,Vin.I,Vinaya Piṭaka I
vin02m1.mul.txt,Vin.II,Vinaya Piṭaka II
vin02m2.mul.txt,Vin.III,Vinaya Piṭaka III
vin02m3.mul.txt,Vin.IV,Vinaya Piṭaka IV
vin02m4.mul.txt,Vin.V,Vinaya Piṭaka V
